changed_today,conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
,"Cutaneous T Cell Lymphoma (CTCL), Mycosis Fungoides, Sezary Syndrome","Cutaneous T-cell lymphomas (CTCL) are a heterogeneous group of lymphomas characterized by a primary involvement of the skin. Among them, mycosis fungoides (MF) and Sézary syndrome (SS) are the most common subtypes. SS is defined as erythroderma (erythema of the entire skin surface), and circulating tumor blood cells. The circulating tumor T cells express CD4 and may lose expression of CD7 and CD26, while exhibiting in most cases aberrant expression of CD158k (KIR3DL2), which is a surface marker of Sézary cells. CCR8 is a surface marker of tumor-infiltrating regulatory T cells. It has recently be observed that CCR8 was expressed by tumor cells in CTCL and other peripheral T-cell lymphomas. CCR8 is expressed by skin resident-memory T cells which are believed to be the tumor cell-of-origin in mycosis fungoides. Domain Therapeutics (DT) showed the in vitro efficacy of their proprietary anti-CCR8 mAb DT7012 in the depletion of CTCL cells. Therapeutic depletion of CCR8-expressing cells by DT-7012 could eliminate tumor cells and activate the anti-tumor immunity in CTCL. We hypothesize that treatment with DT-7012 is effective in the treatment of relapsed or refractory (R/R) CTCL as advanced MF and SS.",30,NCT07213882,2026-02-05,2025-10-02,No Change,DT-7012 clinical_2,EARLY_PHASE1,Dose limiting toxicity (DLT) defined by any treatment-emergent adverse event (TEAE) not attributable to the disease or disease-related processes,Assistance Publique - Hôpitaux de Paris,NOT_YET_RECRUITING,2028-08-01,2026-01-01,CCR8
,Advanced Solid Tumors,"This is a phase 1/2, first-in-human, multicenter, open-label clinical study to assess the safety, tolerability, pharmacokinetics, pharmacodynamics and efficacy of DT-7012, administered as monotherapy and in combination with an immune checkpoint inhibitor (ICI), in participants with selected recurrent advanced/metastatic solid tumors.

This study includes:

* a phase 1 Monotherapy Dose Escalation
* a phase 1b Combination Dose Escalation (this part will be initiated upon recommendation from the Safety Review Committee based on Monotherapy Dose Escalation data and corresponds to a dose escalation of a combination of DT-7012 with an ICI)
* a subsequent phase 2 Indication-Specific Efficacy part

The phase 1 aims at determining the maximum tolerated dose or maximum administered dose of DT-7012 as single agent and in combination with an ICI, and the safety and tolerability of DT-7012 as single agent and in combination with an ICI in participants with selected recurrent advanced/metastatic solid tumors.

The phase 2 will assess the efficacy of DT-7012 as monotherapy and/or in combination with an ICI in indication-specific cohorts.",125,NCT06819735,2026-02-12,2025-11-14,No Change,DT-7012 clinical_1,"PHASE1, PHASE2","Proportion of participants with DLTs, TEAEs, TRAEs, AESIs, SAEs and AEs leading to treatment discontinuation",Domain Therapeutics Australia Pty Ltd,RECRUITING,2028-01,2025-06-25,CCR8
,Advanced Solid Tumor,The goal of this clinical trial is to evaluate the safety and efficacy of QLP2117 in combination with QL2107 in Advanced Solid Tumor Patients.,90,NCT06911827,2026-02-12,2025-04-07,No Change,QLP2117 clinical_1,"PHASE1, PHASE2",Dose-limiting toxicity(DLT),"Qilu Pharmaceutical Co., Ltd.",NOT_YET_RECRUITING,2028-12,2025-04,CCR8
,Advanced Solid Tumors,"This is the first in human study of QLP2117. To evaluate the Safety, Pharmacokinetics, Immunogenicity and Efficacy of QLP2117 in patients with advanced solid tumors.",180,NCT05830045,2026-02-12,2024-06-25,No Change,QLP2117 clinical_2,PHASE1,Dose-limiting toxicity(DLT),"Qilu Pharmaceutical Co., Ltd.",RECRUITING,2025-12-31,2023-05-19,CCR8
True,"Microsatellite-stable Colorectal Cancer, Standard of Care, Nivolumab, Bevacizumab","**[RECENT CHANGES FOUND]**
Field `statusModule.statusVerifiedDate` changed from `2025-08` to `2026-02`
Field `statusModule.overallStatus` changed from `RECRUITING` to `SUSPENDED`
Field `statusModule.startDateStruct.date` changed from `2025-11-30` to `2025-08-15`
Field `statusModule.startDateStruct.type` changed from `ESTIMATED` to `ACTUAL`
Field `statusModule.lastUpdateSubmitDate` changed from `2025-08-20` to `2026-02-17`
Field `statusModule.lastUpdatePostDateStruct.date` changed from `2025-08-27` to `2026-02-19`
Field `designModule.enrollmentInfo.count` changed from `40` to `7`
Field `designModule.enrollmentInfo.type` changed from `ESTIMATED` to `ACTUAL`
New field added: `root['statusModule']['whyStopped']`
Field removed: `root['contactsLocationsModule']['centralContacts']`
Field removed: `root['contactsLocationsModule']['locations'][0]['status']`
Field removed: `root['contactsLocationsModule']['locations'][0]['contacts']`

***
Primary Objectives

* To determine the safety of the combination of BMS-986340, nivolumab, trifluridine/tipiracil and bevacizumab.
* To determine the objective response rate (ORR) of the BMS-986340, nivolumab, trifluridine/tipiracil and bevacizumab

Secondary Objectives

• To determine the progression-free survival (PFS), overall survival (OS) and duration of response (DOR) in participants with advanced or metastatic MSS-CRC.",7,NCT07011550,2026-02-20,2026-02-17,Changed,BMS-986340 clinical_1,PHASE2,Safety and adverse events (AEs),M.D. Anderson Cancer Center,SUSPENDED,2030-07-01,2025-08-15,CCR8
,Solid Tumors,"The primary objective of Part A is to evaluate the safety and tolerability of S-531011 and to determine the maximum tolerated dose (MTD) and/or recommended Phase 2 dose (RP2D) of S-531011.

The primary objective of Parts B and C is to evaluate the antitumor activity of S-531011 at the RP2D.",274,NCT05101070,2026-02-05,2025-05-22,No Change,S-531011 as Monotherapy and in Combination With an Immune Checkpoint Inhibitor in Advanced or Metastatic Solid Tumors,"PHASE1, PHASE2",Part A: Number of Participants with Treatment-emergent Adverse Events (TEAEs),Shionogi,RECRUITING,2027-04-16,2022-05-30,CCR8
,"Cutaneous T Cell Lymphoma (CTCL), Mycosis Fungoides, Sezary Syndrome","Cutaneous T-cell lymphomas (CTCL) are a heterogeneous group of lymphomas characterized by a primary involvement of the skin. Among them, mycosis fungoides (MF) and Sézary syndrome (SS) are the most common subtypes. SS is defined as erythroderma (erythema of the entire skin surface), and circulating tumor blood cells. The circulating tumor T cells express CD4 and may lose expression of CD7 and CD26, while exhibiting in most cases aberrant expression of CD158k (KIR3DL2), which is a surface marker of Sézary cells. CCR8 is a surface marker of tumor-infiltrating regulatory T cells. It has recently be observed that CCR8 was expressed by tumor cells in CTCL and other peripheral T-cell lymphomas. CCR8 is expressed by skin resident-memory T cells which are believed to be the tumor cell-of-origin in mycosis fungoides. Domain Therapeutics (DT) showed the in vitro efficacy of their proprietary anti-CCR8 mAb DT7012 in the depletion of CTCL cells. Therapeutic depletion of CCR8-expressing cells by DT-7012 could eliminate tumor cells and activate the anti-tumor immunity in CTCL. We hypothesize that treatment with DT-7012 is effective in the treatment of relapsed or refractory (R/R) CTCL as advanced MF and SS.",30,NCT07213882,2026-02-05,2025-10-02,No Change,"A Phase 1, Multicenter, Open-label, Prospective, First-in-human Dose-escalation Clinical Trial of Domain Therapeutics' Anti-CCR8 Monoclonal Antibody (DT-7012) in Patients With Relapsed or Refractory Cutaneous T-cell Lymphomas (CTCL)",EARLY_PHASE1,Dose limiting toxicity (DLT) defined by any treatment-emergent adverse event (TEAE) not attributable to the disease or disease-related processes,Assistance Publique - Hôpitaux de Paris,NOT_YET_RECRUITING,2028-08-01,2026-01-01,CCR8
,Locally Advanced or Metastatic GC and GCJ Adenocarcinoma,"This is a phase III， Multicenter, Randomized study， evaluating the efficacy and Safety of LM-108(an Anti-CCR8 mAb) in combination With Toripalimab Versus Paclitaxel Injection in subjects with CCR8-Positive locally advanced or metastatic Gastric Cancer and Gastroesophageal Junction Adenocarcinoma.",400,NCT07362186,2026-02-05,2026-01-15,No Change,LM-108 in Combination With Toripalimab Versus Paclitaxel Injection for the Treatment of Subjects With CCR8-Positive Gastric and Gastroesophageal Junction Adenocarcinoma,PHASE3,Overall survival (OS),LaNova Medicines Limited,NOT_YET_RECRUITING,2028-09-28,2026-04-03,CCR8
,TNBC - Triple-Negative Breast Cancer,To evaluate the efficacy and safety of LM108 plus toripalimab plusnab-paclitaxel or eribulin as first-line or post-line treatment in patients with metastatic triple-negative breast cancer.,74,NCT06387628,2026-02-05,2024-08-01,No Change,LM-108 in Combination With PD-1 Based Treatment for Patients With Recurrent or Metastatic Triple - Negative Breast Cancer,PHASE2,ORR,Fudan University,RECRUITING,2027-04-01,2024-07-10,CCR8
,Advanced Solid Tumor,Part D allocation for 1 cohort will be randomized.,416,NCT05007782,2026-02-05,2025-12-26,No Change,Study of Denikitug (GS-1811) Given Alone or With Zimberelimab in Adults With Advanced Solid Tumors,PHASE1,Percentage of Participants Experiencing Dose Limiting Toxicities (DLTs) in Part A and C,Gilead Sciences,RECRUITING,2028-12,2021-08-18,CCR8
,Advanced Solid Tumors,"Researchers are looking for a better way to treat people who have advanced solid tumors. Advanced solid tumors are solid cancers that may have spread to nearby tissue, lymph nodes and/or to distant parts of the body and that are unlikely to be cured or controlled with currently available treatments.

A new therapy available for advanced solid cancers is immunotherapy with PD-1/PD-L1 inhibitors. This drug class stimulates immune cells to kill cancer cells by blocking a protein called PD-1. Although PD-1/PD-L1 inhibitors have shown benefits in treatment of cancer, only a subset of patients benefit from the initial therapy, while in others the cancer comes back. One reason could be that the ability of the patients' immune systems to kill cancer cells is weakened by so-called regulatory T cells which have a suppressive effect on the immune system.

The study treatment BAY3375968 is an antibody that binds to a protein called CCR8 which is located on the surface of regulatory T cells. This leads to a reduction in regulatory T cells and further inhibits their immune suppressive activity, so that the immune response against cancer can be strengthened as observed in animal models. Animal studies also showed that BAY3375968 may add more anti-cancer effect to immunotherapy with PD-1/PD-L1 inhibitors when used in combination. All of these previous observations need to be confirmed in humans.

The main aims of this study are to find for BAY3375968 alone and in combination with pembrolizumab (a PD-1 inhibitor):

* how safe it is
* the degree to which overt medical problems caused by the treatment(s) can be tolerated
* the highest amount of BAY3375968 that can be given alone or in combination with pembrolizumab.
* how it moves into, through, and out of the body.

To do this, researchers will collect and analyze data about:

* the number and severity of participants' medical problems after taking their treatments
* the best dose of BAY3375968 that can be given
* the highest level in the blood (Cmax) and the total level (AUC) of BAY3375968.

Doctors keep track of all medical problems (also called adverse events) that participants have during the study, even if they do not think that they might be related to the study treatment.

The researchers will also study the activity of BAY3375968 alone and in combination with pembrolizumab against the cancer.

The study will have 2 parts. Part 1 (dose escalation) focuses on tumor types that respond to immunotherapy. It will help to find the best dose for BAY3375968 alone and in combination with pembrolizumab that can be given in part 2. For this, the participants will receive one specific dose of several increasing BAY3375968 doses tested in part 1. Dose escalation of BAY3375968 alone will be done prior to the dose escalation of the combination with a fixed dose of pembrolizumab.

The participants of part 2 (dose expansion), will receive the best dose of BAY3375968 alone or in combination with pembrolizumab found in part 1. This part of the study focuses on certain cancer types of the lung, breast, head and neck cancer, gastric cancer and melanoma.

The total duration of the study will be approximately 4 years and 7 months. Each participant in the study will visit the study site twice before starting their treatment. Once the treatment starts, the frequency of visits is 5 times per week in the first treatment week and 1 to 3 times per month in later treatment periods. Another visit will be scheduled for the participants within 30 days after the last treatment in the study.

During the study, the study team will:

* take blood and urine samples
* do physical and vital signs examinations
* examine heart health using ECG and Echocardiogram
* check the tumor status and if the participants' cancer has grown and/or spread using imaging techniques
* take tumor samples
* ask questions about the impact of the disease on the participants' general well-being and activities of daily life.

About 90 days after the participants receive their last treatment and discontinued the study, the doctors will check the participants' health. In case a new anticancer therapy has been started, medical problems will be recorded via a phone call.

The study team will continue to check the participants' cancer status about every 12 weeks until their cancer gets worse, the start of a new anti-cancer therapy, or withdrawal of consent. In addition, every 6 months for up to 24 months after the last participant left the study the study team will check the participants' survival and subsequent anticancer treatment by phone until the end of this study.",129,NCT05537740,2026-02-12,2026-01-21,Changed,"A First-in-human Study to Learn How Safe the Study Drug BAY3375968, an Anti-CCR8 Antibody, is, When Given Alone or in Combination With Pembrolizumab, How it Affects the Body, How it Moves Into, Through, and Out of the Body, and to Find the Best Dose in Participants With Advanced Solid Tumors",PHASE1,Number of participants with treatment-emergent adverse events (TEAEs) categorized by severity,Bayer,ACTIVE_NOT_RECRUITING,2027-05-04,2022-10-11,CCR8
,"Advanced Solid Tumor, Metastatic Solid Tumor, Solid Tumor","This study aims to evaluate how safe and well-tolerated the treatment is, how the body processes it, how it works on the tumors, and whether it shows early signs of fighting cancer in people with certain advanced or metastatic solid tumors.

Key details of the study include:

* The study is expected to last about 36 months.
* Participants will receive treatment until they either no longer benefit from the treatment, experience side effects that are too severe, or choose to stop participating.",263,NCT05935098,2026-02-05,2025-06-23,No Change,BGB-A3055 Alone and in Combination With Tislelizumab in Participants With Solid Tumors,PHASE1,Phase 1a: Number of participants with adverse events (AEs),BeiGene,ACTIVE_NOT_RECRUITING,2027-03-31,2023-08-21,CCR8
,"Advanced Solid Tumor, Head and Neck Squamous Cell Carcinoma","This is a Phase 1, open-label, first-in-human, dose-escalation and expansion study of CHS-114, a monoclonal antibody that targets CCR8, as a monotherapy in participants with advanced solid tumors, that will be conducted in 3 parts:

* Arm 1a: CHS-114 monotherapy dose-escalation portion of the study will enroll approximately 25 participants with advanced solid tumors.
* Arm 1b: CHS-114 monotherapy expansion cohort(s) will evaluate the safety, efficacy, tolerability, pharmacokinetics, and pharmacodynamics of CHS-114 in indication specific cohort(s). Up to approximately 10 participants will be enrolled.
* Arm 2: CHS-114 + toripalimab combination dose-escalation portion of the study will evaluate the safety, efficacy, tolerability, pharmacokinetics, and pharmacodynamics of CHS-114 in combination with toripalimab in indication specific cohort(s). Up to approximately 6-12 participants will be enrolled.
* Arm 3: CHS-114 + toripalimab combination dose-expansion portion of the study will evaluate the safety, efficacy, tolerability, pharmacokinetics, and pharmacodynamics of CHS-114 in combination with toripalimab in indication specific cohort(s). Up to approximately 40 participants will be randomized to two dosing arms.",87,NCT05635643,2026-02-05,2025-07-30,No Change,Study of CHS-114 in Participants With Advanced Solid Tumors,PHASE1,"[Arms 1a, 1b, and 2] Rate of Dose Limiting Toxicity (DLT)","Coherus Oncology, Inc.",RECRUITING,2026-02,2022-12-15,CCR8
,"Metastatic Solid Tumor, Advanced Solid Tumor",The main purpose of this study is to evaluate the safety and preliminary efficacy of CHS-114 in combination with toripalimab and/or other standard of care (SOC) compound(s) in participants with advanced or metastatic solid tumors.,154,NCT06657144,2026-02-10,2026-02-03,Changed,A Study of CHS-114 in Combination With Toripalimab and/or Other Treatments in Participants With Advanced Solid Tumors,PHASE1,Number of Participants With Treatment-emergent Adverse Events (TEAEs),"Coherus Oncology, Inc.",RECRUITING,2027-05,2025-04-01,CCR8
,Advanced or Metastatic Solid Tumors,"TAK-188 is a new medicine that targets a protein called CCR8, which is found on the surface of certain cells (Tregs) inside tumors. These cells can weaken the body's ability to fight cancer. TAK-188 may help to remove these Tregs. Removing these Tregs may allow more cancer-fighting cells (CD8+ T cells) to attack the tumor and potentially stop tumors from growing.

In this study, researchers want to learn if TAK-188 can help the body's immune system better fight cancer in adults with advanced cancers which have not gotten better with regular treatments. The main aims of this study are to check if TAK-188 is safe in adults with advanced or spreading (metastatic) solid tumors, if participants tolerate the treatment with TAK-188 and to learn if TAK-188 works well in adults with certain advanced cancers after their previous treatments didn't work. Participants may receive TAK-188 for up to 1 year. Their health will be monitored after the treatment has ended for up to another year.",223,NCT07205718,2026-02-10,2026-02-04,Changed,A Study of TAK-188 in Adults With Advanced or Spreading Solid Tumors,"PHASE1, PHASE2",Phase 1: Number of Participants with Treatment-emergent Adverse Events (TEAEs),Takeda,RECRUITING,2029-12-21,2025-11-19,CCR8
,Non Small Cell Lung Cancer,"This study explores the potential resistance problem in patients with low response rates after neoadjuvant ICIs treatment by addressing their potential resistance problems through an adjuvant immune combination regimen of ICIs, with the aim of providing a personalized choice of perioperative regimens for patients with early stage II-III resectable NSCLC, and to reduce the risk of postoperative recurrence and death in patients.",296,NCT06620822,2026-02-05,2024-09-28,No Change,"Efficacy of PD-1 Inhibitor Combination Therapy in Non-small Cell Lung Cancer Patients Who Have Not Achieved Major Pathologic Response After Neoadjuvant Immunotherapy: a Multicenter, Phase II Clinical Trial",PHASE2,2-year DFS rate,"Shanghai Pulmonary Hospital, Shanghai, China",NOT_YET_RECRUITING,2027-09-30,2024-09-30,CCR8
