NCT Number,Study Title
NCT04185038,Study of B7-H3-Specific CAR T Cell Locoregional Immunotherapy for Diffuse Intrinsic Pontine Glioma/Diffuse Midline Glioma and Recurrent or Refractory Pediatric Central Nervous System Tumors
NCT07099898,A Study of GSK5764227 in Participants With Relapsed Small Cell Lung Cancer (SCLC)
NCT04167618,177Lu-DTPA-Omburtamab Radioimmunotherapy for Recurrent or Refractory Medulloblastoma
NCT05768880,"Study of B7-H3, EGFR806, HER2, And IL13-Zetakine (Quad) CAR T Cell Locoregional Immunotherapy For Pediatric Diffuse Intrinsic Pontine Glioma, Diffuse Midline Glioma, And Recurrent Or Refractory Central Nervous System Tumors"
NCT06699576,ARTEMIS-103: Phase 1b Study of HS-20093 Combinations in Patients with Bone and Soft Tissue Sarcoma.
NCT06825624,ARTEMIS-102: HS-20093 Combinations in Patients with Advanced Metastatic Colorectal Cancer
NCT06112704,HS-20093 in Patients with Advanced Esophageal Carcinoma and Other Advanced Solid Tumors
NCT05280470,Ifinatamab Deruxtecan (I-DXd) in Subjects With Pretreated Extensive-Stage Small Cell Lung Cancer (ES-SCLC)
NCT06912152,MT027 in Patients With Advanced Peritoneal Malignancies or Abdominal Metastatic Solid Tumors
NCT06426680,A Study of the ILB-3101 in Patients with Advanced Solid Tumors
NCT02475213,Safety Study of Enoblituzumab (MGA271) in Combination With Pembrolizumab or MGA012 in Refractory Cancer
NCT06482905,Safety and Efficacy Study of TX103 CAR-T Cell Therapy for Recurrent or Progressive Grade 4 Glioma.
NCT06892548,A Clinical Study to Investigate the Efficacy and Safety of an Investigational Combination Therapy With BNT324 and BNT327 in Patients With Advanced Lung Cancer
NCT04129320,Enoblituzumab Plus MGA012 or MGD013 in Squamous Cell Carcinoma of the Head and Neck
NCT07256782,A Study of QLC5508 Combinations in Patients With Advanced Solid Tumors
NCT03729596,MGC018 With or Without MGA012 in Advanced Solid Tumors
NCT06332170,ARTEMIS-101: A Study of HS-20093 Combinations in Patients With Advanced Solid Tumors
NCT05830123,ARTEMIS-002: HS-20093 in Patients With Relapsed or Refractory Osteosarcoma and Other Sarcomas
NCT02456571,CTC Immune Checkpoint
NCT07115446,Phase Ib Study of HS-20093+HRS-5041 in Patients With Advanced Prostate Cancer
NCT06203210,A Study of Ifinatamab Deruxtecan Versus Treatment of Physician's Choice in Subjects With Relapsed Small Cell Lung Cancer
NCT06007729,ARTEMIS-006: HS-20093 in Patients With Head and Neck Squamous Cell Carcinoma and Other Solid Tumors
NCT04637503,"4SCAR-T Therapy Targeting GD2, PSMA and CD276 for Treating Neuroblastoma"
NCT06052423,ARTEMIS-007: HS-20093 in Patients With Extensive Stage Small Cell Lung Cancer
NCT06242470,A Study of MGC026 in Participants With Advanced Solid Tumors
NCT06780137,A Study to Evaluate the Safety and Efficacy of Gocatamig (MK-6070) and Ifinatamab Deruxtecan (I-DXd) in Participants With Relapsed/Refractory Extensive-Stage Small Cell Lung Cancer (MK-6070-002)
NCT05276609,ARTEMIS-001: Phase 1 Study of the HS-20093 in Patients With Advanced Solid Tumors
NCT07227597,A Clinical Study of Gocatamig (MK-6070) and Infinatamab Deruxtecan (MK-2400) in People With Small Cell Lung Cancer (MK-6070-003)
NCT07386002,A Phase II Study of Intracerebroventricular MT027 in Recurrent or Progressive Glioblastoma
NCT05063357,131I-omburtamab Delivered by Convection-Enhanced Delivery in Patients With Diffuse Intrinsic Pontine Glioma
NCT06776198,"Precision Therapy Based on Immune Microenvironment by Transcriptome Sequencing of Osteosarcoma, a Prospective, Multi-cohort Exploratory Clinical Study"
NCT04842812,Engineered TILs/CAR-TILs to Treat Advanced Solid Tumors
NCT06001255,ARTEMIS-003: HS-20093 in Patients With Metastatic Castrate-resistant Prostate Cancer (mCRPC) and Advanced Solid Tumors
NCT06330064,A Study To Evaluate The Efficacy And Safety Of Ifinatamab Deruxtecan (I-DXd) In Subjects With Recurrent Or Metastatic Solid Tumors (IDeate-PanTumor02)
NCT07231081,Phase I Study of TX103 CAR-T Cells in Participants With Advanced Solid Tumors
NCT05064306,131I-omburtamab for the Treatment of Central Nervous System/Leptomeningeal Neoplasms in Children and Young Adults
NCT05142189,"Clinical Trial Evaluating the Safety, Tolerability and Preliminary Efficacy of BNT116 Alone and in Combinations in Patients With Advanced Non-small Cell Lung Cancer"
NCT06362252,A Study of I-DXd in Combination With Atezolizumab With or Without Carboplatin as First-Line Induction or Maintenance in Subjects With Extensive Stage-Small Cell Lung Cancer (IDeate-Lung03)
NCT06372236,UTAA06 Injection for Treatment of Advanced Malignant Solid Tumors
NCT06954246,A Study of MHB088C Injection Versus Treatment of Physician's Choice in Subjects With Relapsed Small Cell Lung Cancer
NCT04634825,Enoblituzumab Plus Retifanlimab or Tebotelimab in Head and Neck Cancer
NCT05991583,A Clinical Trial to Evaluate Effect of IBB0979 in Patients With Advanced Malignant Tumors
NCT07076095,A Phase II/III Study of IBB0979 in Combination With Topotecan Versus Topotecan in Relapsed Small Cell Lung Cancer
NCT04864821,Clinical Study of CD276 Targeted Autologous Chimeric Antigen Receptor T Cell Infusion in Patients With CD276 Positive Advanced Solid Tumor
NCT05914116,A Phase 1/2a Study of DB-1311/BNT324 in Advanced/Metastatic Solid Tumors
NCT07004647,MT027 Cell Injection in Patients With Advanced Primary or Secondary Peritoneal Tumors
NCT07181473,"A Study to Evaluate the Safety, Pharmacokinetics and Efficacy of TJ101 in Patients With Advanced/Metastatic Solid Tumors"
NCT05293496,A Study of MGC018 in Combination With MGD019 in Participants With Advanced Solid Tumors
NCT06742593,"Study of MT027 in Patients with Brain, Meninges, and Spinal Cord Metastatic Solid Tumors"
NCT04630769,FT516 and IL2 With Enoblituzumab for Ovarian Cancer
NCT04544592,UCD19 CarT in Treatment of Pediatric B-ALL and B-NHL
NCT02883595,Efficacy of Thymosin Alpha 1 on Improving Monocyte Function for Sepsis
NCT00554515,"The High-Dose Aldesleukin (IL-2) ""Select"" Trial for Patients With Metastatic Renal Cell Carcinoma"
NCT02204020,Phase II Study of 5-azacytidine Maintenance After Transplant for AML or MDS
NCT02937844,Pilot Study of Autologous Chimeric Switch Receptor Modified T Cells in Recurrent Glioblastoma Multiforme
NCT06644781,A Study of Ifinatamab Deruxtecan in Subjects With Pretreated Advanced or Metastatic Esophageal Squamous Cell Carcinoma (ESCC) (IDeate-Esophageal01)
NCT05562869,Belatacept as a Replacement for CNIs 3 to 12 Months Post-transplantation in Patients With Early Graft Dysfunction
NCT04013620,CNI Transient Replacement by Belatacept From 3 to 12 Months Post Transplantation in Patients With Early Graft Dysfunction
NCT04276701,Immune Mediators and Metabolites to Stratify Systemic Lupus Erythematosus Patients at High Risk of Cardio Vascular Diseases
NCT07136558,Evaluation of ICP-B794 in Patients With Advanced Solid Tumors
NCT06953089,DB-1311 in Combination With BNT327 or DB-1305 in Advanced/Metastatic Solid Tumors
NCT02584517,Aetiology of TemporaL Arteritis Study
NCT07307053,Rare Tumor Focused Platform Study of Innovative Therapies and Technologies (PLATFORM2)
NCT06993766,The Predictability of CD19 Expression Across Primitive Cellular Fractions of Relapsed B-ALL on Outcomes of CD19-targeted CAR T-cells
NCT02923180,Neoadjuvant Enoblituzumab (MGA271) in Men With Localized Intermediate and High-Risk Prostate Cancer
NCT06014255,Trial of Neoadjuvant Enoblituzumab vs SOC in Men With High-Risk Localized Prostate Cancer
NCT04465643,Neoadjuvant Nivolumab Plus Ipilimumab for Newly Diagnosed Malignant Peripheral Nerve Sheath Tumor
NCT06221553,Safety and Efficacy of Loco-regional B7H3 IL-7Ra CAR T Cell in DIPG
NCT06612645,Safety and Efficacy of CMD03 CAR T Cell in Children With Relapse or Refractory Solid Tumors
NCT04514484,Testing the Combination of the Anti-cancer Drugs XL184 (Cabozantinib) and Nivolumab in Patients With Advanced Cancer and HIV
NCT04743661,"131I-Omburtamab, in Recurrent Medulloblastoma and Ependymoma"
NCT03014804,Autologous Dendritic Cells Pulsed With Tumor Lysate Antigen Vaccine and Nivolumab in Treating Patients With Recurrent Glioblastoma
