conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
Advanced Malignant Tumors,"A Phase I open label, dose-escalation and expansion study to evaluate the safety, tolerability, pharmacokinetics and anti-tumor activity of AK130 (TIGIT/TGF-β bifunctional fusion protein) in patients with advanced malignant tumors.",19,NCT05653284,2026-02-05,2024-08-11,No Change,A Study of AK130 in Patients With Advanced Malignant Tumors,PHASE1,Incidence and severity of participants with adverse events (AEs),Akeso,COMPLETED,2024-05-30,2023-02-09,TIGIT
"Locally Advanced Gastric Adenocarcinoma, MSI-H/dMMR Gastric Cancer, MSI-H/dMMR Gastroesophageal-junction Cancer","Primary objective The primary objective of the trial is to evaluate the efficacy of zimberelimab +/- domvanalimab as peri-operative treatment in resectable MMRd/MSI-H gastric/GOJ adenoca. A chemotherapy-sparing approach. The primary endpoint is pathological complete response rate at surgery, and to identify which is the most promising experimental arm (zimberelimab alone vs zimberelimab in combination with domvanalimab).

Secondary objectives

* To assess the safety and tolerability of zimberelimab+/- domvanalimab in this disease setting
* To further assess the efficacy of zimberelimab+/- domvanalimab in terms of radiological response rate, R0 resection rate, progression free survival (PFS) and overall survival (OS)
* To evaluate surgical outcomes following treatment with zimberelimab +/- domvanalimab

Translational analyses on tissue and blood biomarkers aimed at identifying those who derive the most benefit from this immunotherapy combination, and those who are non/poor responders.",50,NCT06250036,2026-02-05,2025-08-19,No Change,Zimberelimab Anti-PD1 +/- Domvanalimab in Resectable Mmrd Gastric Cancer,PHASE2,Efficacy of zimberelimab +/- domvanalimab in patients with resectable MMRd/MSI-H gastric/GOJ adenocarcinoma who proceed to surgery,Royal Marsden NHS Foundation Trust,RECRUITING,2031-09-01,2025-02-20,TIGIT
"Locally Advanced or Metastatic Solid Tumors, Non-small Cell Lung Cancer","Up to 150 patients will be included in this study. Up to 30 DLT evaluable patients will be enrolled in phase 1a (dose escalation), 40 per-protocol treated patients in phase 1b (dose expansion), and 80 per-protocol treated patients in phase 2.

Phase 1a uses the Bayesian optimal interval (BOIN) design, to investigate the safety and determine the MTD of HLX301. BOIN design combines rule-based and model-based design, allowing for flexibility of dose escalation and de-escalation, and high patient enrollment in doses closest to the target toxicity rate (pre-defined as 30% in this study). This study will also evaluate safety profiles at different dose levels, PK parameters, pharmacodynamic markers, immunogenicity, and the preliminary efficacy of the drug.

Following dose escalation and determination of the MTD, additional patients with NSCLC will be enrolled in phase 1b dose expansion to further evaluate PK and pharmacodynamic characteristics, and preliminary efficacy in order to determine the RP2D.

The phase 2 clinical expansion will include patients with various cancer types, including:

20 per-protocol treated patients with non-small cell lung cancer (NSCLC) 20 per-protocol treated patients with gastric/esophagogastric junction adenocarcinoma (GC/EGJ) 20 per-protocol treated patients with head and neck squamous cell carcinoma (HNSCC) 20 per-protocol treated patients with urothelial carcinoma (UC)",150,NCT05102214,2026-02-05,2023-08-07,No Change,HLX301 (TIGIT×PDL1 Bispecific) in Patients With Locally Advanced or Metastatic Solid Tumors,"PHASE1, PHASE2",Phase 1a: Safety assessments in patients receiving the trial drug,Shanghai Henlius Biotech,UNKNOWN,2024-02,2022-05-03,TIGIT
Biliary Tract Carcinoma,"Biliary Tract Carcinoma (BTC) has an insidious onset, invasiveness, high malignancy, and no specific symptoms in the early stage, and most of them are in the middle and advanced stages at the time of diagnosis and have lost the chance of surgery. For patients with advanced BTC, systemic therapy is currently the main choice, and gemcitabine/cisplatin (GP) is currently the ""gold standard"" for first-line treatment of advanced BTC, but the efficacy is still unsatisfactory, and more and more clinical practice has found that GP-based combination therapy may have better efficacy.

Previous studies have shown that chemotherapy can improve the immunotherapy microenvironment and may have a synergistic anti-tumor effect in combination with immunotherapy. This study is to explore the efficacy and safety of GP in combination with anti-PD1 antibody (Tislelizumab) and anti-TIGIT antibody (Ociperlimab) as first-line treatment in participants with unresectable advanced BTC.",45,NCT05023109,2026-02-05,2023-08-12,No Change,GP Chemotherapy in Combination With Anti-PD-1 and Anti-TIGIT in Unresectable Advanced BTC,PHASE2,Objective response rate (ORR),Shanghai Zhongshan Hospital,UNKNOWN,2024-12-01,2021-02-01,TIGIT
Glioblastoma,"This is a phase 0/I exploratory study. Patients at first or second recurrence of glioblastoma will be enrolled. The study will be divided into two cohorts: Cohort A (safety cohort) and Cohort B (surgical patient cohort).

Cohort A: Eligible patients will be sequentially enrolled to receive intravenous domvanalimab combined with zimberelimab (N=6). Domvanalimab will be given at a dose of 10 mg/kg and zimberelimab will be given at a dose of 240 mg (flat). The dosing was determined in a separate study in solid tumors; this cohort will confirm the safety of the dosing schedule in patients with brain tumors.

Cohort B: Expansion surgical cohort. The purpose of cohort B is to provide an additional safety evaluation of domvanalimab + zimberelimab as well as tissue and blood for exploratory ancillary studies investigating the effects of domvanalimab + zimberelimab in the tumor and tumor microenvironment. A total of 46 patients will be enrolled in this cohort.

Following completion of cohort A, patients who are candidates for surgical resection for management of tumor progression (i.e. need for diagnostic confirmation or tumor debulking) will be enrolled prior to surgical resection, and initiate study treatment approximately two weeks prior to the resection.

Patients will be randomized to one of the four treatment arms and initiate treatment prior to surgery, according to treatment assignment.

The pre-surgical dose (neoadjuvant treatment) will be double-blinded, to minimize dropouts. A total of 10 patients will be allocated to each one of the following groups in a blinded fashion, approximately two weeks before surgery:

* B1 (N=10): domvanalimab single agent (10 mg/kg) + placebo
* B2 (N=10): zimberelimab single agent (240 mg) + placebo
* B3 (N=10): domvanalimab (10 mg/kg) +zimberelimab (240 mg)
* B4 (N=10): Two placebo infusions

Two to six weeks, following surgery, all patients (N=46) will be re-screened and if still eligible will initiate treatment with the combination of domvanalimab and zimberelimab.",46,NCT04656535,2026-02-05,2026-01-06,No Change,AB154 Combined With AB122 for Recurrent Glioblastoma,EARLY_PHASE1,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability] associated with the combination AB122 and AB154 in patients with recurrent glioblastoma,Yale University,ACTIVE_NOT_RECRUITING,2026-12-31,2021-04-21,TIGIT
Intrahepatic Cholangiocarcinoma,"Biliary Tract Carcinoma (BTC) have insidious onset, invasiveness, high malignancy, and no specific symptoms in the early stage, and most of them are in the middle and advanced stages at the time of diagnosis and have lost the chance of surgery. For patients with advanced BTC, systemic therapy is currently the main choice, and gemcitabine/cisplatin (GP) is currently the ""gold standard"" for first-line treatment of advanced BTC, but the efficacy is still unsatisfactory, and more and more clinical practice has found that GP-based combination therapy may have better efficacy.

Previous studies have shown that chemotherapy can improve the immunotherapy microenvironment and may have a synergistic anti-tumor effect in combination with immunotherapy. This study is to explore the efficacy and safety of GP in combination with anti-PD1 antibody (Tislelizumab) and anti-TIGIT antibody (Ociperlimab) as first-line treatment in participants with unresectable advanced BTC.",0,NCT05019677,2026-02-05,2022-03-22,No Change,GP Chemotherapy in Combination With Tislelizumab and Ociperlimab as First-line Treatment in Advanced BTC,PHASE2,Objective response rate (ORR),Fudan University,WITHDRAWN,2024-12-01,2021-09-01,TIGIT
Advanced Solid Tumours,"This is a single-arm, open-label, Phase I study including a first-in-human study for PM1021, and the combination therapy of PM1021 with PM8001. The study will be following the accelerated titration design and the classic 3+3 design, and dose escalation will be investigated for PM1021 monotherapy (Part A) and in combination with PM8001 (Part B), respectively. In the absence of DLTs in Parts A and B, patients will continue to receive combination therapy (Part C) until disease progression, intolerable toxicity, until the patient withdraws/is withdrawn, or study completion.

Up to 30 patients are planned to be enrolled. Four dose levels (150mg, 450 mg, 900 mg, and 1200 mg) of PM1021 with or without PM8001 (20 mg/kg) treatment will be explored in this study.",30,NCT05537051,2026-02-05,2023-02-07,No Change,A Study of PM1021 (Anti-TIGIT) With or Without PM8001 (Anti-PD-L1/TGF-β) in Patients With Advanced Solid Tumours,PHASE1,DLT,Biotheus Inc.,UNKNOWN,2025-12-31,2023-10-30,TIGIT
"Carcinoma, Hepatocellular","The study is being conducted to to explore the reasonable dosage and evaluate the efficacy, safety and tolerability of Serplulimab Injection (HLX10, a Recombinant Anti-PD-1 Antibody) and HLX04 (a Biosimilar to Bevacizumab) With or Without HLX53 (an Anti-TIGIT Fc Fusion Protein) in Untreated, Locally Advanced or Metastatic Hepatocellular Carcinoma Patients.",117,NCT06349980,2026-02-05,2024-12-15,No Change,"A Study to Explore the Reasonable Dosage and Evaluate the Efficacy, Safety and Tolerability of HLX10 and HLX04 with or Without HLX53 in Untreated, Locally Advanced or Metastatic Hepatocellular Carcinoma Patients.",PHASE2,ORR,Shanghai Henlius Biotech,RECRUITING,2027-02-10,2024-08-05,TIGIT
Advanced Tumors,"This is an open-label, dose-escalation and dose-expansion phase I clinical study to evaluate the safety and tolerability of JS006 as Monotherapy and in combination with toripalimab in patients with advanced tumors who have failed standard therapies or who have no standard therapy. It is planned to enroll 69-176 patients into the study.",176,NCT05061628,2026-02-05,2021-09-21,No Change,The Recombinant Humanized Anti-TIGIT Monoclonal Antibody (JS006) Monotherapy and in Combination With Toripalimab in Patients With Advanced Tumor,PHASE1,To evaluate the safety and tolerability of JS006 as Monotherapy and in combination with toripalimab in patients with advanced tumors,"Shanghai Junshi Bioscience Co., Ltd.",UNKNOWN,2024-09-30,2021-04-21,TIGIT
Melanoma,"This is a single-arm two-stage phase II study of PD-1 inhibitor zimberelimab (AB122) in combination with TIGIT inhibitor domvanalimab (AB154) in advanced melanoma patients who have failed PD-1 inhibitor therapy.

Patients will undergo a 28-day screening evaluation consisting of systemic staging scans, tumor biopsy, and blood studies to confirm suitability. Once enrolled, patients will receive zimberelimab 360 mg every 3 weeks (Q3W) and domvanalimab 15 mg/kg Q3W. Patients will undergo restaging scans at W9 following 3 cycles of therapy with response assessed using RECIST v1.1 and iRECIST. Following restaging scans, patients with response will continue to receive zimberelimab and domvanalimab till disease progression, intolerable toxicity or for up to 24 months.",26,NCT05130177,2026-02-05,2025-05-02,No Change,Zimberelimab (AB122) With TIGIT Inhibitor Domvanalimab (AB154) in PD-1 Relapsed/Refractory Melanoma,PHASE2,Objective Response Rate (ORR),Diwakar Davar,RECRUITING,2031-01,2022-03-16,TIGIT
"Advanced Esophageal Cancers, Advanced Non-small Cell Lung Cancer (NSCLC)","This is an open-label clinical study aims to evaluate the safety, pharmacokinetic characteristics and preliminary efficacy of BC008-1A injection in subjects with advanced esophageal squamous cell carcinoma and advanced non-small cell lung cancer (squamous cell carcinoma and adenocarcinoma). There are two cohorts. Cohort 1 selects patients with advanced esophageal squamous cell carcinoma, and Cohort 2 selects subjects with advanced non-small cell lung cancer (squamous cell carcinoma and adenocarcinoma) with a PD-L1 TPS (Tumor Proportion Score) of ≥1%.

Cohort 1: Two dose groups will be set up. Subjects with advanced esophageal cancer will enter the low-dose group (900mg) or the high-dose group (1200mg) in parallel. Each subject will only receive the experimental drug of one dose group and will not participate in the studies of the other dose group.

Cohort 2: Two dose groups will be set up. Subjects with advanced non-small cell lung cancer (squamous cell carcinoma and adenocarcinoma) will enter the low-dose group (900mg) or the high-dose group (1200mg) in parallel. Each subject will only receive the experimental drug of one dose group and will not participate in the studies of the other dose group.

For both Cohort 1 and Cohort 2, BC008-1A injection will be administered once every 3 weeks, and 21 days will be regarded as one cycle. Subjects will continue to take the drug until disease progression occurs, or intolerable toxicity develops, or they are lost to follow-up, or withdraw their informed consent, or start a new anti-tumor treatment, or the investigator decides to withdraw them based on the subject's benefit situation.",80,NCT06773507,2026-02-05,2025-07-07,No Change,Phase I Study of BC008-1A Injection in Patients With Advanced Solid Tumors,PHASE1,Objective response rate (ORR),"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd.",RECRUITING,2027-06,2025-05-12,TIGIT
