conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
"Central Nervous System Neoplasms, Atypical Teratoid/Rhabdoid Tumor, Diffuse Midline Glioma, H3 K27M-Mutant, Ependymoma, High Grade Glioma, Glioblastoma, Medulloblastoma",Treatment on this study includes four (4) B7-H3-CAR T cell infusions over a 4 week period. B7-H3-CAR T cells will be locoregionally administered via a CNS reservoir catheter without lymphodepleting chemotherapy. The study will evaluate the safety and maximum tolerated dose (MTD) of B7-H3-CAR T cells using a 3+3 study design and a 4 week evaluation period. Follow up will occur on this protocol for 1 year after the final B7-H3-CAR T cell infusion and then continue on an institutional long-term follow up protocol to complete 15 years post-infusion.,48,NCT05835687,2026-02-05,2026-01-15,No Change,Loc3CAR: Locoregional Delivery of B7-H3-CAR T Cells for Pediatric Patients With Primary CNS Tumors,PHASE1,Maximum tolerated dose (MTD),St. Jude Children's Research Hospital,RECRUITING,2028-03,2023-04-27,B7-H3
"Mesothelioma, Bladder Cancer, Melanoma, Squamous Cell Carcinoma of the Head and Neck, Non Small Cell Lung Cancer, Clear Cell Renal Cell Carcinoma, Ovarian Cancer, Thyroid Cancer, Breast Cancer, Pancreatic Cancer, Prostate Cancer, Colon Cancer, Soft Tissue Sarcoma","This study is a Phase 1 open-label, dose escalation, cohort expansion, and efficacy follow-up study of MGD009 administered intravenously (IV) on an every-other-week schedule for up to one year (14 cycles).

The dose escalation phase is designed to characterize the safety and tolerability of MGD009 and to define the maximum tolerated or maximum administered dose (MTD/MAD). This phase will enroll patients with mesothelioma, bladder cancer, melanoma, squamous cell carcinoma of the head and neck (SCCHN), non-small cell lung cancer (NSCLC), clear cell renal cell carcinoma (ccRCC), ovarian cancer, thyroid cancer, triple-negative breast cancer (TNBC), pancreatic cancer, colon cancer, soft tissue sarcoma, or prostate cancer.

In the cohort expansion phase, 6 cohorts of 16 patients each will be enrolled to further evaluate the safety and potential efficacy of MGD009 administered at the MTD/MAD dose in patients with mesothelioma, bladder cancer, melanoma, SCCHN, NSCLC, or other specific tumors that express high levels of B7-H3. Pre- and on-study biopsies are required for melanoma patients in the cohort expansion phase. Two additional cohorts (up to15 patients each) will evaluate the use of prophylaxis therapies to mitigate toxicity.

The survival follow-up phase consists of the 2-year period after the final dose of study drug.

All tumor evaluations will be carried out by both Response Evaluation Criteria in Solid Tumors (RECIST) and immune-related response criteria (irRC).",67,NCT02628535,2026-02-05,2022-02-04,No Change,Safety Study of MGD009 in B7-H3-expressing Tumors,PHASE1,Number of participants with adverse events,MacroGenics,TERMINATED,2019-11-25,2015-09,B7-H3
"Sarcoma, Childhood Osteosarcoma, Childhood Rhabdomyosarcoma, Childhood Soft Tissue Sarcoma, Ewing Sarcoma","This study is a phase I study designed to describe the safety of B7-H3-CAR T cells and lymphodepletion in combination with hypofractionated radiation therapy for the treatment of pediatric patients with B7-H3+ sarcoma.

The study will contain two-part eligibility criterion: one to proceed with autologous apheresis and manufacturing of CAR T cells, and a second to proceed with CAR T cell treatment.

The primary intervention is the administration of autologous B7-H3-CAR T cells, after priming with HFRT and administration of lymphodepleting chemotherapy. Peripheral blood mononuclear cells (PBMC) will be collected by autologous apheresis. Treatment will include HFRT to at least one site of disease, administered in parallel with a single course of lymphodepleting chemotherapy (fludarabine/cyclophosphamide) and followed by CAR T cell infusion. Participants are evaluated for a post-treatment tumor biopsy and may choose to be evaluated for a pre-treatment tumor biopsy. Participants who meet specified criteria will be eligible for optional additional treatment courses.",42,NCT07222735,2026-02-10,2026-02-06,Changed,Hypofractionated Radiation in Combination With B7-H3-CAR T Cells for Pediatric Patients With Relapsed/Refractory Sarcomas,PHASE1,Dose limiting toxicity (DLT) rate,St. Jude Children's Research Hospital,RECRUITING,2031-11-05,2026-01-21,B7-H3
"Brain Gliomas, High-Grade Gliomas, GBM","B7-H3 is expressed at low levels in normal tissues but overexpressed in various tumor tissues. The ubiquitous expression of B7-H3 in tumors of different grades is a key feature for brain gliomas. The immunohistochemistry study showed that B7-H3 is abundantly expressed on both glioma (especially high-grade glioma) cells and tumor-associated endothelial cells. For GBM, the expression of B7-H3 is intensely positive, especially on tumor cells and vascular endothelial cells, which makes B7-H3 a potential immunotherapeutic target.

γδ T cells recognize tumor cells without being restricted by MHC molecules, and thus can be used in allogeneic therapy without the risk of causing graft-versus-host disease.

This study is an open-label, single-arm, dose-escalation and dose-expansion clinical study aimed at evaluating the safety and efficacy of allogeneic B7-H3 CAR γδT in patients with malignant glioma.",25,NCT06018363,2026-02-05,2025-08-13,No Change,Clinical Study on the Treatment of Malignant Brain Glioma by QH104 Cell Injection,"PHASE1, PHASE2",Phase 1: Incidence of Adverse Events (AEs),Dushu Lake Hospital Affiliated to Soochow University,RECRUITING,2027-12-31,2023-06-01,B7-H3
Ovarian Cancer,"This is a single site, open label, Phase 1 study using a 3 + 3 dose escalation design in two cohorts of adults with recurrent, platinum-resistant ovarian tumors.",48,NCT06646627,2026-02-10,2026-02-05,Changed,Clinical Trial of Autologous B7-H3 CAR T Cells in Reoccurent Platinum-resistant Ovarian Tumors,PHASE1,Feasibility of B7-H3CART Manufacturing,Stanford University,RECRUITING,2026-07,2024-11-11,B7-H3
"Breast Cancer, Relapse, Resistant Cancer, Triple Negative Breast Cancer","T lymphocyte chimeric antigen receptor cells against the B7-H3 antigen (iC9-CAR.B7-H3 T cells) treatment is experimental and has not been approved by the Food and Drug Administration. The safety of iC9-CAR.B7-H3 T cells will be investigated using a modified 3+3 design. The data from the dose escalation will be used to determine a recommended phase 2 dose (RP2D), which will be decided based on the maximum tolerated dose (MTD) and additional factors such as the ability to manufacture sufficient cells for infusion.

Subjects with TNBC who meet procurement eligibility criteria will have cells collected to manufacture iC9-CAR.B7-H3 T cells. Eligible subjects will receive lymphodepletion with cyclophosphamide and fludarabine.",42,NCT06347068,2026-02-05,2025-09-15,No Change,Study of Autologous CAR-T Cells Targeting B7-H3 in TNBC iC9-CAR.B7-H3 T Cells,PHASE1,Toxicity: NCI-CTCAE,UNC Lineberger Comprehensive Cancer Center,RECRUITING,2028-05,2024-06-27,B7-H3
Solid Tumor,"Background: Patients with refractory and/or recurrent solid tumors have poor prognosis despite complex multimodal therapy; therefore, novel curative approaches are needed. The investigators are attempting to use T cells obtained directly from the patient, which can be genetically modified to express a 4th generation CD276-specific chimeric antigen receptor (4SCAR-276). The CAR molecules enable the T cells to recognize and kill tumor cells through the recognition of the surface CD276, which is expressed at high levels on tumor cells including brain tumors, Ewing's sarcoma (PNET) and many other tumors but not at significant levels on normal tissues. This study will evaluate the side effects and the best dose of a novel 4th generation anti-CD276 CAR T cells to target refractory and/or recurrent solid tumors.

Design:

1. Participants will be screened through physical exam and medical history. Blood and tumor tissue samples will be collected. Imaging studies will be performed.
2. Peripheral blood mononuclear cells (PBMC) will be obtained by apheresis, and T cells will be activated and modified to express the 4SCAR-276 gene.
3. On Day -5 to -7, PBMC will be activated and enriched for T cells, which will be followed by 4SCAR-276 lentiviral transduction. The total culture time is approximately 5-7 days.
4. Participants will receive a preparative conditioning regimen comprising cyclophosphamide/fludarabine to prepare their immune system to accept the modified CAR T cells. The preparative regimen will be based on patient immune condition and consistent with standard chemotherapy conditioning regimen.
5. The patients will receive \~10\^6 CART cells/kg body weight per infusion, and may receive additional booster CART infusions if positive outcome is recorded.",100,NCT04432649,2026-02-05,2020-06-11,No Change,Targeting CD276 (B7-H3) Positive Solid Tumors by 4SCAR-276,"PHASE1, PHASE2",Number of patients with adverse events,Shenzhen Geno-Immune Medical Institute,UNKNOWN,2024-05-31,2020-06-01,B7-H3
B7-H3-positive Relapsed/ Refractory Neuroblastoma,"In the dose-escalation phase of the Phase I clinical trial, a traditional 3+3 trial design was adopted, with a total of 3 dose groups designed. The dose of T/kg was gradually increased, and a total of 12-18 subjects with relapsed/refractory neuroblastoma were enrolled.Within each dose group, the next subject can be dosed after the previous subject has completed at least 14 days of safety observations. After the last subject of each dose group completed the dose-limited toxicity (DLT) evaluation within 28 days after a single dose, the SMC (Safety Monitoring Committee) agreed to enter the next dose group after evaluating the clinical safety data. After that, the enrolment treatment for the next dose group can be started.When 1 DLT occurs in 3 subjects in a dose group, 3 additional subjects in the same dose group (up to 6 subjects in this dose group complete the DLT assessment): If the additional 3 subjects If no DLT occurs, continue dose escalation; if 1 out of 3 additional subjects develops DLT, stop dose escalation; if \&gt; 1 of 3 additional subjects develops DLT DLT, then stop the dose escalation, and at the same time need to reduce a dose to continue to enroll 3 subjects for DLT evaluation.

In the dose expansion phase of the Phase I clinical trial, SMC will review the obtained safety and available data on efficacy, PK, immunogenicity, etc., and give the RP2D dose after comprehensive evaluation. In the dose expansion phase, the RP2D dose group will continue to be enrolled 3 \~6 subjects, further clarify the preliminary efficacy and safety of RP2D.",24,NCT05562024,2026-02-05,2023-02-23,No Change,TAA06 Injection in the Treatment of Patients With B7-H3-positive Relapsed/ Refractory Neuroblastoma,PHASE1,MTD,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",RECRUITING,2039-02-18,2022-12-30,B7-H3
Glioblastoma,"This is an open, single-arm, dose-escalation and multiple-dose study to evaluate the safety, tolerability and preliminary effectiveness of B7-H3-targeting Chimeric Antigen Receptor-T (CAR-T) cell therapy on patients with recurrent glioblastomas. The study also plan to explore the Maximum Tolerated Dose (MTD) and determine the Recommended Phase II Dose (RP2D) of the CAR-T cell therapy.",30,NCT05241392,2026-02-05,2025-02-09,No Change,Safety and Efficacy Study of Anti-B7-H3 CAR-T Cell Therapy for Recurrent Glioblastoma,PHASE1,Incidence of Dose Limiting Toxicity (DLT),Beijing Tiantan Hospital,ACTIVE_NOT_RECRUITING,2026-12-31,2022-01-27,B7-H3
Advanced Solid Tumors,"This study is a Phase 1, open-label, dose escalation, and cohort expansion study designed to characterize the safety, tolerability, PK, pharmacodynamics, immunogenicity, and preliminary antitumor activity of the combination of obrindatamab and retifanlimab, each of which is administered by IV infusion. The study consists of a Dose Escalation Phase to determine the Maximum Tolerated Dose (MTD) or Maximum Administered Dose (MAD) (if no MTD is defined) of the combination, followed by a Cohort Expansion Phase to further define the safety and initial antitumor activity of the combination with the doses established in the Dose Escalation Phase. Patients with B7-H3-expressing unresectable, locally advanced, or metastatic solid tumors of any histology will be enrolled in the Dose Escalation Phase. Following the establishment of an MTD, additional patients with specific tumor types will enroll in the Cohort Expansion Phase.",25,NCT03406949,2026-02-05,2022-05-18,No Change,MGD009/MGA012 Combination in Relapsed/Refractory Cancer,PHASE1,Incidence of Treatment-Emergent Adverse Events as assessed by CTCAE v4.03,MacroGenics,COMPLETED,2022-04-27,2018-02-27,B7-H3
"Neuroblastoma, Rhabdomyosarcoma, Osteosarcoma, Ewing Sarcoma, Wilms Tumor, Desmoplastic Small Round Cell Tumor","This study is a Phase 1, open-label, dose escalation and cohort expansion trial designed to characterize the safety, tolerability, PK, PD, immunogenicity and preliminary antitumor activity of enoblituzumab administered IV on a weekly schedule for up to 96 doses (approximately 2 years) in children and young adults with B7-H3-expressing relapsed or refractory malignant solid tumors.

The study consists of a Dose Escalation Phase to determine the MTD (or MAD) of enoblituzumab followed by a Cohort Expansion Phase to further define the safety and initial antitumor activity of enoblituzumab. In the cohort expansion phase, 5 cohorts of 10 patients each will be enrolled to further evaluate the safety and potential efficacy of enoblituzumab administered at the MTD/MAD in patients with:1) neuroblastoma - measurable disease, 2) neuroblastoma - non-measurable disease, 3) rhabdomyosarcoma, 4) osteosarcoma, and 5) Ewing's sarcoma, Wilms' tumor, desmoplastic small round cell tumors, or malignant solid tumors of any other histology that test positive for B7-H3.

All tumor evaluations will be carried out by both Response Evaluation Criteria in Solid Tumors (RECIST) and immune-related response criteria (irRC). Disease assessment in patients with neuroblastoma will use neuroblastoma overall response criteria.",25,NCT02982941,2026-02-05,2022-02-04,No Change,Enoblituzumab (MGA271) in Children With B7-H3-expressing Solid Tumors,PHASE1,Safety and tolerability of enoblituzumab.,MacroGenics,COMPLETED,2019-05-22,2016-12,B7-H3
Glioblastoma Multiforme,"This is a phase 1, single center, open-label study aims to determine the safety of escalating doses of chimeric antigen receptor T cells (CAR-T) cells targeting the B7-H3 antigen administered via intraventricular infusion to adult subjects with relapsed or refractory glioblastoma (GBM).

Subjects with GBM who meet procurement eligibility criteria will have cells collected following their initial surgical resection to manufacture CAR.B7-H3T cells, preferably prior to initiation of adjuvant chemoradiation.

At the time that the subjects have confirmed refractory or recurrent GBM, CAR.B7-H3T cells will be manufactured for subjects who likely to be eligible for cell infusion.

Eligible subjects will receive up to 3 weekly infusions of CAR.B7-H3 cells. To receive the additional cycles of CAR.B7-H3 cells, all treatment-related toxicities must have resolved to grade \< 3, the subject must not have experienced a dose limiting toxicity (DLT) and the subject must not have progressive disease that has been confirmed by magnetic resonance imaging per Immunotherapy response assessment in neuro-oncology criteria.

The data from the dose escalation will be used to determine a recommended phase 2 dose (RP2D), which will be decided on based on the maximum tolerated dose (MTD) and additional factors such as the feasibility of administering infusions.",36,NCT05366179,2026-02-05,2025-10-16,No Change,Autologous CAR-T Cells Targeting B7-H3 in Recurrent or Refractory GBM CAR.B7-H3Tc,PHASE1,Number of participants with adverse event,UNC Lineberger Comprehensive Cancer Center,RECRUITING,2030-05-30,2022-09-02,B7-H3
Epithelial Ovarian Cancer,"This study is intended for the patients who have been diagnosed with Epithelial Ovarian Cancer that either came back or did not improve after previous treatments. The purpose of this study is to test the safety of using a new treatment called autologous T lymphocyte chimeric antigen receptor cells against the B7-H3 antigen (CAR.B7-H3 T cells) in patients with ovarian cancer. This treatment has not been approved by the Food and Drug Administration.

The study investigator's goal is to calculate the Maximum tolerated dose of the CAR.B7-H3 cells There are two parts to this study. In part 1, subject's blood sample will be used to manufacture the CAR.B7-H3 T cells.

Ovarian cancer cells carry a substance called B7-H3 which is not found in other healthy cells. the subject's T cells will be modified to make CAR.B7-H3 T cells so they may attack and destroy ovarian cancer cells that carry the B7-H3 substance. The CAR.B7-H3 T cells are given through a catheter in the abdomen, after completing three rounds of lymphodepletion chemotherapy. Lymphodepletion chemotherapy prepares the body to receive the CAR.B7-H3 T cells.

In part 2 of the study, the subjects will receive the CAR.B7-H3 T cells. Eligible patients will receive lymphodepletion chemotherapy with cyclophosphamide and fludarabine for three consecutive days. If they continue to meet the eligibility criteria, the modified CAR.B7-H3 T cells will be given to them 2-14 days after the last lymphodepletion chemotherapy session. Three infusions of the CAR.B7-H3 T cells may be given to the subject through a catheter in the abdomen. Infusions will be done once a week.

Lymphodepletion chemotherapy and infusion of the CAR.B7-H3 T cells will happen at UNC Cancer Hospital. On the days the subjects receive the CAR.B7-H3 T cells infusion- Blood, fluid, and tumor samples will be collected from the subject for research purposes. Tumor biopsies are a mandatory part of this research.

Post infusion visits are - 3, 4, and 6 weeks. Additional visits will happen every 3 months for one year after the last infusion. Similar follow-up clinic visits will be completed annually, for a total of 5 years.

This is a research study to obtain new information that may help people in the future.",4,NCT04670068,2026-02-05,2025-12-04,No Change,Phase I Study of Autologous CAR T-Cells Targeting the B7-H3 Antigen in Recurrent Epithelial Ovarian,PHASE1,Number of Participants With Dose Limiting Toxicities (DLTs) Based on National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE),UNC Lineberger Comprehensive Cancer Center,ACTIVE_NOT_RECRUITING,2030-02,2021-01-27,B7-H3
"Rhabdomyosarcoma, Ewing Sarcoma, Neuroblastoma, Wilms Tumor","This protocol is designed as a phase I dose-escalation study. Procurement phase: During the procurement phase of this protocol, upon SABRE Procurement Consent and procurement eligibility confirmation, participants will undergo a non-mobilized apheresis for collection of mononuclear cells to be used for the CAR-TA T cell product manufacturing.

Treatment phase: Once the CAR-TA T cell products are released and patients are confirmed eligible for CAR-TA T cell product infusion, participants will undergo protocol therapy at Children's National Hospital, consisting of a standard Lymphodepleting chemotherapy preparative regimen with fludarabine and cyclophosphamide, followed by intravenous infusion of the combined CAR-TA T cell product. The DNR-TA T cells and B7-H3 CAR T cells will be generated and combined into a final product comprised of the two T cell components combined at a 1:1 ratio. Patients will be enrolled to one of three CAR-TA T cell product dose levels (dose levels 1, 2 and 3). There are provisions in place to dose de-escalate for safety concerns (dose level -1).

Fludarabine will be administered intravenously once daily over 30 minutes, days -5 through -2 (4 doses in total). The dose of fludarabine will be 30 mg/m2 /day. Cyclophosphamide will be administered intravenously once daily over 30 minutes, days -5 and -4 (2 doses in total). The dose of cyclophosphamide will be 500 mg/m2 /day.

The first 3 patients enrolled on study will be ≥ 12 years of age at enrollment and treated at dose level 1 (1 x 10e6/kg). If no DLTs are observed in this cohort, enrollment at dose levels 2 (3 x 10e6/kg) and 3 (10 x 10e6/kg) will expand to include patients aged ≥ 1 year and \< 24 years.

Patients will remain admitted for at least 7 days following the CAR-TA T cell infusion. All infused patients will be followed with weekly visits during the 28-day dose-limiting toxicity monitoring period where they will be clinically assessed, and safety and research blood draws will be performed.

Ideally, patients should not receive other systemic or local cancer-directed therapies for at least 28 days after the CAR-TA T cell infusion.

Participants will be followed closely for 1 year following the CAR-TA T-cell infusion. After 1 year, yearly assessments will be done up to 15 years. The visits will consist of labs and examinations as well as talking to participants about how they are feeling. Participants will be followed for toxicity until the last follow-up post CAR-TA T cell product administration.

This study will be conducted at Children's National Hospital (CNH). Cell culture manipulations will be carried out in the CETI Good Manufacturing Practice (GMP) facility within Children's National Hospital using current standard operating procedures (SOPs).

Up to 18 participants will be treated on this protocol to meet the primary objective over an estimated accrual period of 5 years",18,NCT07172958,2026-02-05,2026-01-26,No Change,Selective Antigen Specific T Cells and CAR T Cells in Subjects With Relapsed/Refractory Embryonal Tumors (SABRE),PHASE1,Grade 3 or more immediate infusion-related adverse event,Children's National Research Institute,RECRUITING,2038-12,2026-01-27,B7-H3
